CCAA;FallecidosDiarios;Suma de CasosDiarios;Suma de total Paro Registrado;Suma de Paro hombre edad < 25;Suma de Paro hombre edad 25 -45 ;Suma de Paro hombre edad >=45;Suma de Paro mujer edad < 25;Suma de Paro mujer edad 25 -45 ;Suma de Paro mujer edad >=45;Suma de Paro Sin empleo Anterior;Suma de Paro Agricultura;Suma de Paro Construcción;Suma de Paro Industria;Suma de Paro Servicios
Andalucía;1238;12082;1923630;84595;374134;386262;82275;512192;484172;172100;140538;205360;119575;1286057
Aragón;749;5116;151695;8035;25945;30091;7308;38254;42062;11125;7391;10207;17178;105794
Principado de Asturias;273;2327;161244;5798;30417;36414;5208;38679;44728;13694;2828;14486;13784;116452
Cantabria;192;2265;84311;3382;15913;18645;3016;20882;22473;5866;1385;6959;6738;63363
Ceuta;4;101;23379;1251;4209;4158;1483;6752;5526;3935;151;1106;916;17271
Castilla y León;1770;18289;318998;14423;54164;71368;12702;73650;92691;26597;16956;24641;29253;221551
Castilla-La Mancha;2498;19431;387031;18290;60924;73681;17169;100472;116495;26770;30835;35041;38115;256270
Canarias;136;2199;482615;17760;87752;114317;15978;111826;134982;32175;9709;49807;18703;372221
Cataluña;5061;49301;884857;35406;161532;199342;31330;202817;254430;50248;16926;70996;94959;651728
Extremadura;451;3169;228133;11014;37734;45188;10353;58956;64888;11918;22789;22062;13825;157539
Galicia;555;10386;366110;9233;65179;86077;8797;90338;106486;27071;12335;30801;40266;255637
Islas Baleares;193;1892;135311;8715;28378;24614;8287;36054;29263;5748;1521;14331;5448;108263
Región de Murci;132;1682;221520;10875;36810;42469;10761;58955;61650;18327;13461;19433;23970;146329
Comunidad de Madrid;8222;62235;768783;31175;135551;165496;29041;186021;221499;46201;5783;62938;45273;608588
Melilla;2;115;18550;1204;2704;3330;1445;5323;4544;3377;129;1276;306;13462
Comunidad Foral de Navarra;458;5015;77807;3932;14601;15054;3739;20179;20302;6177;4180;3798;10054;53598
País Vasco;1312;14069;266856;10627;51425;57831;9656;65787;71530;29767;5458;18268;32092;181271
La Rioja;333;3936;36916;1396;6270;8167;1214;8695;11174;1798;3385;2264;6900;22569
Comunidad Valenciana;1245;10590;841769;36780;140273;178035;32729;202954;250998;47911;27095;70053;110835;585875
